CUST_ID,segment,segment_name,BALANCE,CREDIT_LIMIT,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PAYMENTS,MINIMUM_PAYMENTS,PURCHASES_TRX,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,PRC_FULL_PAYMENT,BALANCE_TO_LIMIT_RATIO
C10001,1,Low-Balance Occasional Users,40.900749,1000.0,0.0,95.4,0.0,201.802084,139.509787,2,0.0,0.083333,0.0,0.0,0.040900749
C10002,4,Cash Advance Revolvers,3202.467416,7000.0,0.0,0.0,6442.945483,4103.032597,1072.340217,0,0.0,0.0,0.25,0.222222,0.4574953451428571
C10003,3,Active Purchasers,2495.148862,7500.0,773.17,0.0,0.0,622.066742,627.284787,12,1.0,0.0,0.0,0.0,0.33268651493333334
C10004,1,Low-Balance Occasional Users,1666.670542,7500.0,1499.0,0.0,205.788017,0.0,312.343947,1,0.083333,0.0,0.083333,0.0,0.22222273893333333
C10005,0,High-Utilization Revolvers,817.714335,1200.0,16.0,0.0,0.0,678.334763,244.791237,1,0.083333,0.0,0.0,0.0,0.6814286125
C10006,0,High-Utilization Revolvers,1809.828751,1800.0,0.0,1333.28,0.0,1400.05777,2407.246035,8,0.0,0.583333,0.0,0.0,1.0
C10007,3,Active Purchasers,627.260806,13500.0,6402.63,688.38,0.0,6354.314328,198.065894,64,1.0,1.0,0.0,1.0,0.046463763407407405
C10008,0,High-Utilization Revolvers,1823.652743,2300.0,0.0,436.2,0.0,679.065082,532.03399,12,0.0,1.0,0.0,0.0,0.7928924969565218
C10009,1,Low-Balance Occasional Users,1014.926473,7000.0,661.49,200.0,0.0,688.278568,311.963409,5,0.083333,0.25,0.0,0.0,0.14498949614285714
C10010,1,Low-Balance Occasional Users,152.225975,11000.0,1281.6,0.0,0.0,1164.770591,100.302262,3,0.166667,0.0,0.0,0.0,0.013838725
C10011,0,High-Utilization Revolvers,1293.124939,1200.0,0.0,920.12,0.0,1083.301007,2172.697765,12,0.0,1.0,0.0,0.0,1.0
C10012,1,Low-Balance Occasional Users,630.794744,2000.0,1492.18,0.0,0.0,705.618627,155.549069,6,0.25,0.0,0.0,0.0,0.315397372
C10013,3,Active Purchasers,1516.92862,3000.0,2500.23,717.76,0.0,608.263689,490.207013,26,0.25,0.916667,0.0,0.25,0.5056428733333334
C10014,1,Low-Balance Occasional Users,921.693369,7500.0,419.96,1717.97,0.0,1655.891435,251.137986,26,0.166667,0.75,0.0,0.083333,0.12289244919999999
C10015,0,High-Utilization Revolvers,2772.772734,3000.0,0.0,0.0,346.81139,805.647974,989.962866,0,0.0,0.0,0.083333,0.0,0.9242575780000001
C10016,4,Cash Advance Revolvers,6886.213231,8000.0,0.0,1611.7,2301.491267,1993.439277,2109.90649,11,0.0,0.5,0.166667,0.0,0.860776653875
C10017,0,High-Utilization Revolvers,2072.074354,3000.0,0.0,0.0,2784.274703,391.974562,376.579631,0,0.0,0.0,0.25,0.0,0.6906914513333333
C10018,1,Low-Balance Occasional Users,41.089489,2500.0,0.0,519.0,0.0,254.590662,73.203221,8,0.0,0.333333,0.0,0.25,0.0164357956
C10019,1,Low-Balance Occasional Users,1989.072228,13000.0,166.0,338.35,0.0,1720.837373,744.613395,9,0.083333,0.583333,0.0,0.0,0.153005556
C10020,0,High-Utilization Revolvers,3577.970933,4000.0,0.0,398.64,0.0,1053.980464,12465.54938,12,0.0,1.0,0.0,0.0,0.89449273325
C10021,0,High-Utilization Revolvers,2016.684686,2000.0,0.0,176.68,0.0,223.0686,13557.29726,8,0.0,0.666667,0.0,0.0,1.0
C10022,3,Active Purchasers,6369.531318,11250.0,5910.04,449.91,229.028245,2077.959051,1659.775075,92,0.916667,1.0,0.333333,0.0,0.5661805616000001
C10023,1,Low-Balance Occasional Users,132.34224,1800.0,0.0,815.9,0.0,2359.629958,86.329554,17,0.0,1.0,0.0,0.0,0.07352346666666666
C10024,4,Cash Advance Revolvers,3800.151377,9000.0,3454.56,793.79,7974.415626,9479.043842,1425.426525,13,0.083333,0.916667,0.333333,0.0,0.4222390418888889
C10025,0,High-Utilization Revolvers,5368.571219,6000.0,0.0,0.0,798.949863,1422.726707,1657.002877,0,0.0,0.0,0.363636,0.0,0.8947618698333334
C10026,1,Low-Balance Occasional Users,169.781679,3000.0,0.0,399.6,0.0,215.306142,163.005536,12,0.0,1.0,0.0,0.0,0.056593893
C10027,0,High-Utilization Revolvers,1615.96724,1700.0,102.0,0.0,244.840485,890.178845,971.183209,2,0.166667,0.0,0.25,0.0,0.9505689647058824
C10028,1,Low-Balance Occasional Users,125.694817,1000.0,0.0,233.28,0.0,207.773715,164.748819,12,0.0,1.0,0.0,0.0,0.12569481700000001
C10029,4,Cash Advance Revolvers,7152.864372,10500.0,204.55,182.5,2236.145259,1601.448347,1648.851345,8,0.166667,0.416667,0.833333,0.0,0.6812251782857143
C10030,1,Low-Balance Occasional Users,22.06349,6900.0,0.0,100.0,0.0,160.767773,159.684442,5,0.0,0.416667,0.0,0.0,0.0031976072463768116
C10031,4,Cash Advance Revolvers,12136.21996,13000.0,1013.2,2024.81,3183.583301,4230.323491,3292.01503,64,0.166667,1.0,0.5,0.0,0.9335553815384615
