customer_id,age,gender,region,tenure_months,loyalty_tier,preferred_channel,purchase_count_12m,avg_order_value,total_spend_12m,days_since_last_purchase,preferred_category,category_count,returns_count_12m,return_rate,email_open_rate,email_click_rate,app_sessions_30d,days_since_app_login,promo_response_rate,lapse_flag
CUST000001,66,Female,Midwest,44,Gold,Omnichannel,9,109.82,1127.5,79,Electronics,2,0,0.0,0.204,0.066,7.0,50.0,0.178,0
CUST000002,18,Male,Midwest,9,Silver,Online,7,38.14,278.34,93,Apparel,1,0,0.0,0.169,0.055,5.0,61.0,0.123,1
CUST000003,51,Male,West,13,Silver,Online,9,59.15,467.98,86,Apparel,3,1,0.111,0.238,0.079,7.0,41.0,0.179,0
CUST000004,39,Male,Southeast,13,Silver,Online,6,108.4,615.06,110,Electronics,2,0,0.0,,,4.0,87.0,,1
CUST000005,30,Male,Northeast,8,Gold,Online,14,106.49,1454.95,38,Electronics,4,1,0.071,0.301,0.067,10.0,21.0,0.275,0
CUST000006,53,Female,Southwest,29,Bronze,Online,3,49.97,160.71,151,Beauty,1,0,0.0,0.084,0.027,3.0,79.0,,1
CUST000007,65,Male,West,16,Silver,Online,11,46.0,497.94,67,Beauty,4,1,0.091,0.274,0.031,11.0,32.0,,0
CUST000008,52,Female,Southeast,53,Silver,In-Store,6,74.39,467.64,111,Home & Garden,1,0,0.0,,,4.0,71.0,0.099,1
CUST000009,36,Male,Northeast,23,Silver,In-Store,5,108.04,595.22,131,Home & Garden,1,0,0.0,0.162,0.064,5.0,71.0,0.108,1
CUST000010,28,Female,West,5,Silver,Online,13,41.49,475.35,91,Home & Garden,2,0,0.0,,,9.0,37.0,0.184,1
CUST000011,44,Female,Northeast,3,Silver,In-Store,15,15.0,242.94,40,Apparel,4,1,0.067,0.347,0.14,,,0.265,0
CUST000012,54,Male,Midwest,10,Bronze,Omnichannel,3,51.62,166.27,126,Sports,1,1,0.333,0.063,0.023,1.0,74.0,,1
CUST000013,36,Female,Northeast,9,Silver,In-Store,10,22.55,247.13,80,Apparel,2,0,0.0,0.25,0.072,6.0,49.0,,0
CUST000014,37,Female,Midwest,11,Platinum,In-Store,9,211.32,2162.1,117,Electronics,1,1,0.111,0.196,0.045,8.0,53.0,0.139,1
CUST000015,78,Female,Northeast,4,Bronze,In-Store,3,28.01,79.23,139,Apparel,1,0,0.0,0.101,0.033,5.0,71.0,0.113,1
CUST000016,57,Male,West,72,Silver,Online,11,50.28,541.3,72,Beauty,2,2,0.182,0.197,0.054,,,0.186,0
CUST000017,58,Female,West,3,Bronze,Online,3,33.21,92.54,124,Electronics,1,0,0.0,0.112,0.05,3.0,77.0,0.066,1
CUST000018,21,Male,Midwest,23,Silver,Online,8,37.99,288.16,98,Apparel,2,0,0.0,0.171,0.054,7.0,51.0,,1
CUST000019,32,Male,Northeast,1,Silver,Online,5,97.89,464.46,110,Apparel,1,2,0.4,0.123,0.023,3.0,67.0,0.094,1
CUST000020,43,Female,Northeast,11,Gold,Omnichannel,7,114.1,887.3,113,Apparel,3,0,0.0,0.153,0.067,8.0,57.0,0.105,1
CUST000021,27,Male,Southeast,8,Silver,Online,6,86.41,450.47,100,Beauty,1,0,0.0,0.16,0.032,6.0,62.0,0.152,1
CUST000022,64,Female,Midwest,10,Gold,Omnichannel,10,107.51,979.21,68,Beauty,2,2,0.2,0.249,0.103,9.0,46.0,0.178,0
CUST000023,61,Female,West,15,Bronze,Omnichannel,4,37.77,156.09,120,Apparel,1,0,0.0,0.144,0.039,4.0,67.0,0.103,1
CUST000024,34,Female,Northeast,20,Silver,In-Store,10,25.35,273.67,116,Apparel,3,1,0.1,0.247,0.086,9.0,53.0,0.148,1
CUST000025,66,Male,West,19,Silver,In-Store,6,32.32,205.4,130,Home & Garden,2,1,0.167,0.123,0.021,4.0,69.0,0.1,1
CUST000026,41,Other,West,21,Silver,Online,6,73.83,382.72,130,Food & Beverage,1,1,0.167,0.122,0.036,6.0,60.0,0.112,1
CUST000027,78,Female,Midwest,40,Gold,In-Store,8,127.98,1009.65,103,Home & Garden,2,0,0.0,0.266,0.045,7.0,43.0,,1
CUST000028,44,Male,Southeast,47,Bronze,Omnichannel,6,23.01,124.99,106,Beauty,2,0,0.0,0.153,0.028,,,0.099,1
CUST000029,50,Male,West,29,Silver,Online,5,42.57,244.02,129,Home & Garden,4,1,0.2,0.154,0.024,4.0,63.0,0.124,1
CUST000030,61,Female,West,1,Silver,Online,7,45.1,362.95,89,Apparel,2,0,0.0,0.171,0.044,5.0,55.0,0.148,0
CUST000031,59,Female,Southwest,71,Bronze,Online,4,31.78,109.99,141,Food & Beverage,1,0,0.0,0.083,0.023,2.0,70.0,0.094,1
CUST000032,49,Female,Southeast,64,Silver,In-Store,6,82.91,522.49,110,Apparel,2,0,0.0,0.13,0.025,5.0,90.0,0.123,1
